iter	RMSE
226	4.743794494
227	4.741094332
228	4.738492112
229	4.732982975
230	4.732762193
231	4.728887051
232	4.724274461
233	4.721021769
234	4.717623027
235	4.714340314
236	4.711500796
237	4.709827212
238	4.707563479
239	4.703943113
240	4.701493523
241	4.698096921
242	4.692494994
243	4.687645678
244	4.686880912
245	4.682400601
246	4.676170467
247	4.673948838
248	4.669070299
249	4.666693196
250	4.662847752
251	4.658759718
252	4.655998802
253	4.649897223
254	4.645132894
255	4.642895202
256	4.636393631
257	4.632366838
258	4.628411835
259	4.624693666
260	4.620525312
261	4.614751962
262	4.61157575
263	4.608893709
264	4.603018846
265	4.598932644
266	4.595461045
267	4.589990086
268	4.58701747
269	4.582717419
270	4.577215829
271	4.573317747
272	4.569582722
273	4.56349377
274	4.560535852
275	4.557265937
276	4.556151913
277	4.550787172
278	4.547191407
279	4.542641614
280	4.53832346
281	4.536974345
282	4.534659546
283	4.531213975
284	4.527679876
285	4.521445367
286	4.516701736
287	4.513023797
288	4.509030457
289	4.504949952
290	4.501159246
291	4.49983668
292	4.497161132
293	4.492113918
294	4.489410283
295	4.484323713
296	4.482036929
297	4.478539567
298	4.474429513
299	4.469158935
300	4.46665623
301	4.461276442
302	4.456044221
303	4.453298878
304	4.448716418
305	4.446729527
306	4.443419302
307	4.439899906
308	4.439181864
309	4.435731887
310	4.432554845
311	4.427392518
312	4.425876442
313	4.419192496
314	4.413245344
315	4.411476206
316	4.409027917
317	4.403879074
318	4.398528157
319	4.39613736
320	4.392243754
321	4.389710763
322	4.384061138
323	4.380280845
324	4.376026632
325	4.374700968
326	4.372070872
327	4.36704896
328	4.363582828
329	4.359238485
330	4.357593291
331	4.354721295
332	4.354059142
333	4.352295426
334	4.347057292
335	4.34286793
336	4.339976032
337	4.337227848
338	4.33609529
339	4.330982702
340	4.326967914
341	4.323177289
342	4.317014832
343	4.31445107
344	4.310680866
345	4.307533632
346	4.306312272
347	4.30308133
348	4.302833926
349	4.300188697
350	4.294999161
351	4.290607832
352	4.290111561
353	4.28763593
354	4.282852822
355	4.276125689
356	4.27180028
357	4.269993511
358	4.26817666
359	4.264715741
360	4.264013013
361	4.259101636
362	4.252426998
363	4.24928266
364	4.244546788
365	4.242513001
366	4.236912625
367	4.234250226
368	4.232374335
369	4.229017658
370	4.225658996
371	4.223532443
372	4.219390039
373	4.218514137
374	4.215822948
375	4.211274304
376	4.208629793
377	4.204229292
378	4.200980977
379	4.19793044
380	4.196114965
381	4.194861735
382	4.189014032
383	4.183464045
384	4.181650409
385	4.179928263
386	4.175362455
387	4.171072871
388	4.170512638
389	4.169129789
390	4.165934734
391	4.16518027
392	4.161760495
393	4.159535019
394	4.157683601
395	4.153365067
396	4.152954768
397	4.151522804
398	4.147194277
399	4.143678025
400	4.140421455
401	4.139306822
402	4.135274194
403	4.134803113
404	4.13256428
405	4.128446343
406	4.126686222
407	4.1242378
408	4.120888614
409	4.11647134
410	4.113749772
411	4.109752749
412	4.109229273
413	4.108739461
414	4.104610143
415	4.101831425
416	4.099645316
417	4.096893794
418	4.095208361
419	4.092754482
420	4.088836327
421	4.083925297
422	4.080526737
423	4.078243779
424	4.077037728
425	4.074812244
426	4.074556784
427	4.07190305
428	4.067390411
429	4.063809731
430	4.061756595
431	4.061282911
432	4.057733257
433	4.056814115
434	4.052112712
435	4.048613069
436	4.048128463
437	4.047736316
438	4.04482231
439	4.04463084
440	4.040962443
441	4.037154046
442	4.036161093
443	4.035359198
444	4.034721072
445	4.033535705
446	4.029575512
447	4.028248264
448	4.02809442
449	4.024757505
450	4.02358645
451	4.022652471
452	4.020822253
453	4.018941496
454	4.014588633
455	4.014204402
456	4.012611954
457	4.010389513
458	4.008286851
459	4.005915522
460	4.002161614
461	4.000680219
462	3.998254703
463	3.997212995
464	3.996272082
465	3.994012489
466	3.989982323
467	3.983486855
468	3.97824728
469	3.9757127
470	3.974830043
471	3.973184274
472	3.969093258
473	3.96670597
474	3.962038624
475	3.959767257
476	3.956492494
477	3.954815189
478	3.95144744
479	3.946985783
480	3.946621439
481	3.94312672
482	3.9416418
483	3.93817427
484	3.934321121
485	3.93168896
486	3.930153582
487	3.926223787
488	3.922226672
489	3.919473492
490	3.915450159
491	3.915154284
492	3.91298478
493	3.908391551
494	3.90731304
495	3.90431516
496	3.899401573
497	3.897330555
498	3.893764829
499	3.889855362
500	3.886567561
501	3.885249995
502	3.884428221
503	3.883296974
504	3.882076439
505	3.879452814
506	3.876265168
507	3.874224187
508	3.872574961
509	3.869487179
510	3.866529627
511	3.862441313
512	3.858986144
513	3.855268434
514	3.851424003
515	3.847959478
516	3.844543337
517	3.840180761
518	3.839617568
519	3.836693644
520	3.833597787
521	3.832355366
522	3.828673488
523	3.8250405
524	3.82373418
525	3.820187614
526	3.817398218
527	3.815334653
528	3.811792151
529	3.811195822
530	3.81060125
531	3.806124705
532	3.801833372
533	3.799089563
534	3.798196294
535	3.797095766
536	3.794136499
537	3.790941313
538	3.787570567
539	3.784252504
540	3.781018301
541	3.78053328
542	3.776999801
543	3.77209183
544	3.771879469
545	3.771179349
546	3.770481295
547	3.767103305
548	3.763708211
549	3.763291605
550	3.760249108
551	3.758287801
552	3.754968321
553	3.752797035
554	3.750748585
555	3.748389571
556	3.744390277
557	3.743088879
558	3.738372339
559	3.73508869
560	3.731106155
561	3.729437233
562	3.725473068
563	3.722193997
564	3.72072198
565	3.718213632
566	3.715203438
567	3.712565165
568	3.710063391
569	3.70654076
570	3.705024127
571	3.702457642
572	3.701952346
573	3.700104142
574	3.698861972
575	3.698686598
576	3.696019291
577	3.694249561
578	3.693936735
579	3.692594403
580	3.691441611
581	3.68993713
582	3.689622988
583	3.686837845
584	3.683189871
585	3.681763197
586	3.678559515
587	3.675293258
588	3.673025887
589	3.668990509
590	3.666840725
591	3.666660778
592	3.664976583
593	3.662996121
594	3.661257015
595	3.660074964
596	3.656054308
597	3.655311566
598	3.654807554
599	3.651529145
600	3.649298798
601	3.646919521
602	3.643231312
603	3.640430287
604	3.639084497
605	3.635437119
606	3.633174901
607	3.632183695
608	3.630119493
609	3.627376836
610	3.624548679
611	3.622115278
612	3.618926442
613	3.618494537
614	3.615413008
615	3.61178251
616	3.608404826
617	3.60760732
618	3.60700199
619	3.605753254
620	3.602682439
621	3.600920498
622	3.600258632
623	3.598808364
624	3.595831499
625	3.593600678
626	3.591839483
627	3.587785794
628	3.586716379
629	3.584900699
630	3.584369639
631	3.583825092
632	3.583297889
633	3.579748273
634	3.579272809
635	3.57735369
636	3.575164569
637	3.572964149
638	3.568607527
639	3.564831601
640	3.562495821
641	3.559894813
642	3.558066331
643	3.556379652
644	3.553141889
645	3.552004378
646	3.548923335
647	3.545409931
648	3.542790916
649	3.539829867
650	3.539310724
651	3.534939584
652	3.534475222
653	3.533027357
654	3.532839404
655	3.529515644
656	3.529292518
657	3.527065974
658	3.526434604
659	3.525441546
660	3.524138188
661	3.521989438
662	3.521767987
663	3.520662947
664	3.516785109
665	3.515574857
666	3.51057594
667	3.509164636
668	3.505482599
669	3.503424158
670	3.501415203
671	3.499606735
672	3.49693091
673	3.495837748
674	3.494676554
675	3.493006139
676	3.490574243
677	3.488393313
678	3.487400356
679	3.487263369
680	3.486623267
681	3.484799381
682	3.483861036
683	3.480750365
684	3.478852754
685	3.478175088
686	3.474521947
687	3.470972233
688	3.469670707
689	3.467637943
690	3.464577676
691	3.463007157
692	3.460562277
693	3.459560668
694	3.459113115
695	3.456776611
696	3.454679848
697	3.453248701
698	3.451056477
699	3.448360386
700	3.44717242
701	3.446417394
702	3.443959373
703	3.441143396
704	3.440216863
705	3.436855623
706	3.435474258
707	3.434572156
708	3.434095119
709	3.432901696
710	3.43038101
711	3.429176382
712	3.42638155
713	3.424500318
714	3.423625025
715	3.42207238
716	3.418295151
717	3.417427194
718	3.41505035
719	3.413101444
720	3.410925984
721	3.409690353
722	3.407921783
723	3.407191219
724	3.405150249
725	3.401625116
726	3.399700788
727	3.39935246
728	3.398873409
729	3.398630196
730	3.396597325
731	3.394317505
732	3.394049143
733	3.390884045
734	3.386727106
735	3.383485625
736	3.381867364
737	3.37883371
738	3.378589796
739	3.378018869
740	3.374674175
741	3.372811743
742	3.372305357
743	3.371947354
744	3.370952239
745	3.368197683
746	3.367116925
747	3.365223658
748	3.364656455
749	3.363872399
750	3.362204469
751	3.359594835
752	3.357117603
753	3.354839308
754	3.352344026
755	3.351985725
756	3.348871739
757	3.347911936
758	3.347024233
759	3.345336748
760	3.344573449
761	3.341145806
762	3.337503421
763	3.33529188
764	3.332684749
765	3.329670388
766	3.328341369
767	3.327318518
768	3.326887693
769	3.326380589
770	3.326138946
771	3.3225375
772	3.321284454
773	3.320084546
774	3.316942723
775	3.313825932
776	3.311011956
777	3.308931247
778	3.308188171
779	3.307365018
780	3.305251683
781	3.303902149
782	3.302890611
783	3.30203426
784	3.300307787
785	3.300032043
786	3.297527344
787	3.296638119
788	3.294602243
789	3.293917455
790	3.290076962
791	3.289647916
792	3.286779923
793	3.284613942
794	3.281747689
795	3.278826369
796	3.27633415
797	3.275224952
798	3.273109641
799	3.270567352
800	3.26831041
801	3.265893046
802	3.263406653
803	3.260922184
804	3.258294264
805	3.256707829
806	3.255772233
807	3.253291085
808	3.251687893
809	3.251353969
810	3.251022222
811	3.24941537
812	3.248062463
813	3.246028767
814	3.244642339
815	3.243932398
816	3.243743482
817	3.241117448
818	3.239438013
819	3.237112611
820	3.236908375
821	3.236698349
822	3.235033357
823	3.234909272
824	3.233413255
825	3.231408339
826	3.228516825
827	3.227650504
828	3.226885844
829	3.225161755
830	3.222395008
831	3.221786207
832	3.218788162
833	3.21553069
834	3.213212217
835	3.212523209
836	3.209418221
837	3.206964064
838	3.204500914
839	3.201554983
840	3.199715149
841	3.197922269
842	3.195830325
843	3.193942159
844	3.192436139
845	3.190043457
846	3.188172136
847	3.185794492
848	3.185557714
849	3.183198769
850	3.182177433
851	3.181156042
852	3.179968805
853	3.17709655
854	3.175754632
855	3.172985007
856	3.171869482
857	3.170882715
858	3.170525517
859	3.168472372
860	3.168065468
861	3.167962014
862	3.165411456
863	3.16496566
864	3.164780646
865	3.162362523
866	3.159491577
867	3.157573065
868	3.157326577
869	3.154072867
870	3.153523468
871	3.1505966
872	3.149831628
873	3.148418847
874	3.147087346
875	3.145818936
876	3.144613471
877	3.143496527
878	3.142488317
879	3.140235773
880	3.139759329
881	3.137282878
882	3.134925302
883	3.1325473
884	3.132377744
885	3.129499789
886	3.12734193
887	3.126382621
888	3.125077436
889	3.12462382
890	3.122808594
891	3.120156275
892	3.117483549
893	3.117176881
894	3.115041699
895	3.114414491
896	3.114101348
897	3.111081814
898	3.109577168
899	3.107570975
900	3.105064077
901	3.103447055
902	3.102045797
903	3.100154205
904	3.097880988
905	3.095695133
906	3.094247388
907	3.09397632
908	3.091814572
909	3.089393715
910	3.086693814
911	3.085187009
912	3.084326653
913	3.084133815
914	3.081426647
915	3.080777446
916	3.079451876
917	3.07907176
918	3.077651662
919	3.075449725
920	3.0751769
921	3.072792288
922	3.072641838
923	3.071954515
924	3.06948706
925	3.069267787
926	3.068314751
927	3.06794819
928	3.066201604
929	3.065160164
930	3.063526821
931	3.061811576
932	3.059260879
933	3.059030077
934	3.057948788
935	3.056239763
936	3.054084543
937	3.051982127
938	3.050093011
939	3.048488464
940	3.047433125
941	3.044900286
942	3.042875849
943	3.042284675
944	3.039935165
945	3.039129252
946	3.038126155
947	3.036073354
948	3.035273198
949	3.034259361
950	3.032965597
951	3.030492119
952	3.029665639
953	3.029131675
954	3.029003395
955	3.027327352
956	3.025140695
957	3.022358107
958	3.020052636
959	3.01933494
960	3.018310328
961	3.015948494
962	3.01267805
963	3.01190905
964	3.009823568
965	3.0071389
966	3.004929573
967	3.003552899
968	3.002556811
969	3.001102442
970	2.997744626
971	2.99554469
972	2.992547364
973	2.990898889
974	2.989712038
975	2.98845874
976	2.987779688
977	2.987664887
978	2.986807292
979	2.985246072
980	2.982186213
981	2.980148281
982	2.979562228
983	2.978530501
984	2.976240848
985	2.974236628
986	2.972021361
987	2.969807513
988	2.969438276
989	2.967545472
990	2.965932231
991	2.963917967
992	2.963656778
993	2.962453699
994	2.959550277
995	2.958091153
996	2.956157664
997	2.954636585
998	2.954571639
999	2.954290664
